id,anzahl,anmerkungen,bilanzsumme,gesamtbezuege,value,durchschnitt
413,2,,"186,6 Mio. €",239 T. €,119.5,"119,5 T. €"
412,"2,9",Horst Wanik schied am 30.11.2014 aus dem Vorstand aus. Aus diesem Grund ergibt sich eine Kommazahl bei den Vorständen.,"188,2 Mio. €",254 T. €,87.58620689655173,"87,6 T. €"
414,2,,"150,7 Mio. €",278 T. €,139.0,139 T. €
409,2,,"237,8 Mio. €",291 T. €,145.5,"145,5 T. €"
411,2,,"193,6 Mio. €",291 T. €,145.5,"145,5 T. €"
408,2,,"239,5 Mio. €",305 T. €,152.5,"152,5 T. €"
405,2,,"295,9 Mio. €",315 T. €,157.5,"157,5 T. €"
370,2,,"524,7 Mio. €",319 T. €,159.5,"159,5 T. €"
407,2,,269 Mio. €,329 T. €,164.5,"164,5 T. €"
291,2,,"1,1 Mrd. €",343 T. €,171.5,"171,5 T. €"
395,2,,"328,8 Mio. €",345 T. €,172.5,"172,5 T. €"
393,2,,"362,2 Mio. €",349 T. €,174.5,"174,5 T. €"
390,2,,"376,3 Mio. €",353 T. €,176.5,"176,5 T. €"
400,2,,290 Mio. €,360 T. €,180.0,180 T. €
415,3,,"156,1 Mio. €",361 T. €,120.33333333333333,"120,3 T. €"
391,2,,"367,7 Mio. €","366,3 T. €",183.129,"183,1 T. €"
355,2,,"614,6 Mio. €",368 T. €,184.0,184 T. €
293,2,,"1,1 Mrd. €","370,9 T. €",185.4495,"185,4 T. €"
349,3,,"671,5 Mio. €",380 T. €,126.66666666666667,"126,7 T. €"
302,2,,"981,7 Mio. €",384 T. €,192.0,192 T. €
406,2,,"296,5 Mio. €",396 T. €,198.0,198 T. €
403,2,Fusioniert zu Sparkasse Siegen,"285,3 Mio. €",398 T. €,199.0,199 T. €
326,2,,"825,2 Mio. €",399 T. €,199.5,"199,5 T. €"
380,2,,"449,3 Mio. €",399 T. €,199.5,"199,5 T. €"
399,2,,"301,6 Mio. €",400 T. €,200.0,200 T. €
277,"2,1",Horst Wanik und Ole Schön kamen erst am 1.12.2014 in den Vorstand. Gerhard Kleespies schied am 30.11.2014 aus. Aus diesem Grund ergibt sich eine Kommazahl bei den Vorständen.,"1,1 Mrd. €",401 T. €,190.95238095238093,191 T. €
345,2,,"704,5 Mio. €","404,2 T. €",202.1,"202,1 T. €"
364,2,Fusioniert zu Sparkasse Hegau-Bodensee ,587 Mio. €,406 T. €,203.0,203 T. €
401,2,,"311,5 Mio. €","411,5 T. €",205.75,"205,8 T. €"
396,2,,"314,2 Mio. €","411,7 T. €",205.829,"205,8 T. €"
397,2,,"317,2 Mio. €",413 T. €,206.5,"206,5 T. €"
287,2,,"1,2 Mrd. €",414 T. €,207.0,207 T. €
289,2,,"1,1 Mrd. €",418 T. €,209.0,209 T. €
394,2,,"331,6 Mio. €",418 T. €,209.0,209 T. €
247,2,,"1,4 Mrd. €",422 T. €,211.0,211 T. €
341,2,,"702,7 Mio. €",422 T. €,211.0,211 T. €
343,2,,"709,2 Mio. €",424 T. €,212.0,212 T. €
285,2,,"1,2 Mrd. €",426 T. €,213.0,213 T. €
386,2,,"407,2 Mio. €",431 T. €,215.5,"215,5 T. €"
389,2,,"390,7 Mio. €",434 T. €,217.0,217 T. €
237,2,,"1,4 Mrd. €","434,2 T. €",217.089,"217,1 T. €"
328,2,,"795,2 Mio. €",436 T. €,218.0,218 T. €
387,2,,"439,1 Mio. €",436 T. €,218.0,218 T. €
292,2,,"1,2 Mrd. €",439 T. €,219.5,"219,5 T. €"
321,2,,900 Mio. €,443 T. €,221.5,"221,5 T. €"
