anmerkungen,value2,value,value3,gesamt_jahresueberschuss_fond,gesamtkapitalquote_2014,id,notleidende_kredite_2014,platz_gesamtkapitalquote,platz_nk_kredite_gesamt,platz_npl_zu_gewinn,verhaeltnis_npl_zu_gewinn
,0.07,0.1,0.09,2291697,31.12,359,446000,8,1,3,0.2
,0.08,0.1,0.22,7481260,16.93,267,1229000,192,2,1,0.2
,0.13,0.27,0.29,16401000,22.16,158,3600000,53,3,6,0.2
,0.16,0.1,0.39,15510169.56,22.53,190,3342000,50,4,5,0.2
,0.18,0.33,0.21,10840000,16.91,298,2200000,194,5,4,0.2
,0.19,0.25,0.35,7910821,15.84,286,2700000,250,6,8,0.3
,0.19,0.11,0.46,4596950,21.81,306,2300000,59,7,11,0.5
,0.2,0.11,0.53,2502576,21.46,233,3487000,68,8,71,1.4
"Im Offenlegungsbericht wird als Meldestichttag nicht der letzte Tag des Jahres, sondern der 30.12.2014 genannt.",0.23,0.05,0.53,55226000,13.16,5,44218000,372,9,28,0.8
,0.24,0.17,0.65,5227100,16.45,259,4000000,218,10,27,0.8
,0.24,0.41,0.38,13027595.47,26.01,162,5914000,26,11,10,0.5
,0.28,0.06,0.71,6752552,17.61,205,6727000,167,12,43,1.0
,0.28,0.96,0.37,567794,23.65,360,1900000,43,13,197,3.3
,0.29,0.08,0.67,30580743,23.68,79,13000000,42,14,9,0.4
,0.29,0.08,0.79,4766712.7,15.03,304,3565000,299,15,25,0.7
,0.3,0.11,1.01,10355126,19.18,180,6900000,122,16,19,0.7
,0.31,0.32,0.63,16366695,13.09,72,15000000,377,17,35,0.9
,0.31,0.13,0.69,8906322,15.95,193,6600000,245,18,24,0.7
,0.32,0.05,0.82,10625611,21.13,204,6504000,72,19,13,0.6
,0.33,0.19,0.85,14928285,13.71,131,11300000,355,20,26,0.8
,0.34,0.1,0.88,7318245,14.41,186,7300000,327,21,44,1.0
,0.35,0.47,0.55,2180063,16.7,349,2556000,200,22,48,1.2
,0.36,0.25,0.88,10436000,14.79,165,9299000,314,23,31,0.9
,0.36,0.49,0.51,1249044,16.54,336,3252000,207,24,158,2.6
,0.36,0.51,0.79,2757504,20.74,382,1878000,83,25,20,0.7
,0.38,0.91,8.61,2500000,11.77,139,10850000,408,26,240,4.3
,0.39,0.88,1.78,16040296,25.81,209,10285000,28,27,15,0.6
,0.41,0.01,1.38,1643154,16.61,383,2075000,204,28,57,1.3
,0.42,0.34,0.6,20290706,17.33,133,13348000,177,29,16,0.7
,0.42,0.3,0.92,7247744,14.44,114,15680000,325,30,122,2.2
,0.43,0.26,1.11,8906313,18.21,241,8628000,148,31,41,1.0
,0.43,0.4,1.07,26892683,26.36,90,17801400,24,32,18,0.7
,0.45,0.41,0.7,13961899,19.31,236,7700000,118,33,12,0.6
,0.45,0.09,2.51,1993583,16.86,365,3032000,196,34,84,1.5
,0.46,1.92,2.52,1352818,36.73,317,4629300,2,35,205,3.4
,0.46,0.23,1.18,7389718,15.84,179,10850000,250,36,81,1.5
,0.46,0.76,1.64,6459000,20.35,157,11181000,90,37,95,1.7
,0.47,0.72,2.11,17400000,25.43,159,12457000,31,38,22,0.7
,0.47,1.36,1.57,43971000,20.56,17,54840000,85,39,54,1.2
,0.47,0.37,1.36,19099163,21.56,107,18000000,66,40,39,0.9
,0.49,0.75,1.05,13148474.97,17.55,119,17808000,170,41,64,1.4
,0.49,0.55,0.98,6095006,15.32,316,5438000,282,42,32,0.9
,0.5,0.08,1.16,40530000,16.68,15,62000000,202,43,85,1.5
,0.51,0.68,0.92,7536174,23.93,255,8226000,38,44,46,1.1
,0.51,0.47,1.3,5933169,21.73,269,7353000,61,45,52,1.2
,0.52,1.0,1.75,8083325,18.94,238,10160000,128,46,55,1.3
,0.53,0.18,1.21,25448000,17.68,82,23600000,163,47,37,0.9
,0.54,0.19,1.46,20015249,17.85,60,28000000,160,48,74,1.4
Sparkasse hat mit der Weberbank eine 100% Tochter. Für diese werden auch die NK im Offenlegungsbericht genannt. Diese haben wir hier nicht eingerechnet.,0.54,0.61,1.63,107484608.8,27.51,12,67000000,18,49,14,0.6
,0.55,0.61,1.19,13867052,16.45,183,12300000,218,50,30,0.9
,0.56,0.31,1.13,32707100,23.19,63,27700000,47,51,29,0.8
,0.57,0.35,1.14,9587834,16.3,166,14000000,229,52,79,1.5
,0.57,0.3,1.35,10800000,12.83,135,17300000,386,53,90,1.6
,0.58,0.97,1.03,225000,17.02,404,2108000,188,54,353,9.4
,0.58,0.43,1.19,52037222.1,14.84,18,62300000,310,55,50,1.2
,0.6,0.85,1.13,8335376.57,13.72,178,14780000,354,56,99,1.8
,0.6,1.0,2.42,19600000,18.6,109,24367205,137,57,53,1.2
,0.61,0.43,1.26,52800000,15.72,22,63010000,258,58,49,1.2
Fusioniert zu SPK an der Lippe,0.62,0.23,1.71,1409087,19.63,352,4200000,107,59,180,3.0
,0.62,0.92,2.08,4698256,17.62,377,3382000,165,60,23,0.7
,0.62,0.42,1.57,45218316.04,20.19,26,59500000,94,61,62,1.3
,0.63,0.37,1.78,2034196,16.24,210,14000000,231,62,306,6.9
,0.63,0.29,1.82,7292641,14.62,155,16250000,321,63,128,2.2
,0.63,0.09,1.82,7535246,19.15,396,2173800,124,64,7,0.3
,0.63,0.6,0.89,2252991,18.93,389,2989000,129,65,63,1.3
,0.64,0.92,1.28,7032945,17.23,224,13300000,181,66,103,1.9
,0.65,0.47,1.36,133681,16.47,366,4093000,214,67,407,30.6
,0.65,0.43,1.4,3728266,14.32,249,11329000,330,68,184,3.0
,0.65,0.48,2.13,13251183,20.93,201,13132000,80,69,42,1.0
,0.65,1.32,2.21,6934823,34.1,321,6400000,5,70,36,0.9
,0.65,0.83,3.07,6826049,20.18,265,13600000,95,71,112,2.0
,0.65,1.42,4.39,27217549,22.01,128,25576000,55,72,38,0.9
,0.66,0.67,0.93,7252515,17.33,213,12700000,177,73,98,1.8
,0.67,1.39,3.04,3895152,25.57,344,5659000,30,74,78,1.5
,0.67,1.06,1.22,10240053,21.59,187,14300000,64,75,72,1.4
,0.67,0.39,1.57,8313061.05,16.83,142,20232000,198,76,144,2.4
,0.68,0.59,3.9,2124814,33.59,302,7304000,6,77,207,3.4
,0.69,0.35,1.37,6122271,15.5,253,11600000,274,78,104,1.9
,0.71,0.64,2.62,109500000,37.14,118,19993000,1,79,2,0.2
,0.71,1.1,1.49,2705744,17.41,345,5800000,172,80,120,2.1
,0.71,1.03,2.48,5218660,23.32,289,10000000,44,81,105,1.9
,0.71,0.84,0.78,20193109,13.1,120,26100000,376,82,60,1.3
,0.73,0.74,3.79,15058254,20.04,216,15400000,97,83,45,1.0
,0.73,0.57,1.81,9048025,13.87,217,14052000,347,84,86,1.6
"Im Offenlegungsbericht wird als Meldestichttag nicht der letzte Tag des Jahres, sondern der 30.12.2014 genannt.",0.73,0.66,1.69,38800000,15.68,13,89800000,263,85,134,2.3
,0.73,0.27,2.13,12443114,16.6,87,29000000,206,86,136,2.3
,0.73,0.25,1.26,9832131,13.74,147,22100000,353,87,129,2.2
,0.73,0.96,1.16,3291941,13.52,211,14987000,362,88,248,4.6
,0.74,0.53,1.4,22448965,12.68,103,27000000,390,89,51,1.2
,0.74,0.85,1.8,19400000,19.38,124,27000000,116,90,70,1.4
,0.74,1.7,3.71,5796958,35.31,357,5298300,4,91,34,0.9
,0.74,0.59,1.52,9299572,15.99,256,12851000,241,92,69,1.4
,0.75,1.36,2.26,95610291.23,15.47,7,121028130,276,93,58,1.3
,0.75,0.3,2.1,10461355,14.98,145,21156000,303,94,115,2.0
,0.76,1.55,4.25,15165145,25.57,230,14568000,30,95,40,1.0
,0.76,1.21,1.52,8899482,21.65,262,11600000,63,96,61,1.3
,0.76,0.37,2.31,9900000,19.71,245,12500000,105,97,56,1.3
Fusioniert zu Sparkasse Hameln-Weserbergland ,0.77,1.53,1.34,3047927,19.58,333,6382000,110,98,119,2.1
,0.77,1.04,1.67,23200000,18.82,59,43800000,131,99,102,1.9
,0.77,0.52,1.81,21978641,15.5,24,82000000,274,100,226,3.7
,0.81,0.77,1.75,39800000,13.93,30,64256000,345,101,92,1.6
,0.81,0.8,3.67,7341780,19.84,276,11512000,102,102,87,1.6
,0.82,0.6,1.43,16360868,15.77,101,33300000,253,103,116,2.0
,0.82,0.64,1.63,675889,16.31,374,5279000,228,104,334,7.8
,0.82,0.87,2.25,14148617,17.37,108,31300000,173,105,125,2.2
,0.83,1.2,1.82,7158913,18.24,188,18100000,146,106,151,2.5
,0.83,0.79,2.79,2548996,17.18,388,3736000,183,107,80,1.5
,0.84,1.58,2.1,8700000,19.27,73,43200000,119,108,263,5.0
,0.84,1.72,1.78,8500000,12.52,32,67845000,395,109,337,8.0
,0.84,1.64,3.48,14175125,30.6,243,19200000,9,110,65,1.4
,0.85,1.75,1.09,764523,12.75,391,3452000,387,111,245,4.5
,0.85,0.39,2.36,114512,16.01,401,3000000,240,112,405,26.2
,0.86,0.38,1.84,11849348,16.32,95,36634000,227,113,186,3.1
,0.86,0.58,1.82,20606000,17.48,134,26300000,171,114,59,1.3
,0.86,1.31,3.47,19293786,26.46,136,28878230,23,115,83,1.5
,0.87,0.46,2.03,6903050,13.79,273,13428000,352,116,108,1.9
,0.87,0.37,1.95,7492898,15.76,283,12068000,255,117,91,1.6
