id,name
359,Stadt- und Kreissparkasse Moosburg
267,Sparkasse Aichach-Schrobenhausen
158,Kreissparkasse Wiedenbrück
190,Sparkasse im Landkreis Neustadt/Aisch - Bad Windsheim
298,Sparkasse Eichstätt
286,Sparkasse Pfaffenhofen
306,Kreis- und Stadtsparkasse Wasserburg am Inn
233,Sparkasse Berchtesgadener Land
5,Stadtsparkasse München
259,Sparkasse Freising
162,Sparkasse Neumarkt-Parsberg
205,Sparkasse Rottal-Inn
360,Sparkasse Bergkamen-Bönen
79,Sparkasse Ingolstadt
304,Sparkasse Donauwörth
180,Kreissparkasse Traunstein-Trostberg
72,Sparkasse Regensburg
193,Kreissparkasse Kelheim
204,Sparkasse Landsberg-Dießen
131,Sparkasse Passau
186,Kreis- und Stadtsparkasse Erding - Dorfen
349,Sparkasse Hennstedt-Wesselburen
165,Sparkasse Mainz
336,Kreissparkasse Schongau
382,Sparkasse Wolfach
139,Sparkasse LeerWittmund
209,Sparkasse Elbe-Elster
383,Sparkasse Nördlingen
133,Sparkasse Dachau
114,Sparkasse Fürth
241,Sparkasse im Landkreis Cham
90,Sparkasse Landshut
236,Sparkasse Soest
365,Verbandssparkasse Goch-Kevelaer-Weeze
317,Sparkasse Muldental
179,Sparkasse im Landkreis Schwandorf
157,Stadtsparkasse Magdeburg
159,Sparkasse Burgenlandkreis
17,Stadt- und Kreissparkasse Leipzig
107,Sparkasse Südliche Weinstraße
119,Vereinigte Sparkassen Stadt- und Landkreis Ansbach
316,Sparkasse Neuburg-Rain
15,Kreissparkasse München Starnberg Ebersberg
255,Kreissparkasse Bersenbrück
269,Sparkasse Regen-Viechtach
238,Sparkasse Barnim
82,Sparkasse Niederbayern-Mitte
60,Stadt- und Kreissparkasse Erlangen
12,Mittelbrandenburgische Sparkasse in Potsdam
183,Sparkasse Deggendorf
63,Stadt- und Kreissparkasse Darmstadt
166,Sparkasse Bad Tölz-Wolfratshausen
135,Sparkasse Lüneburg
404,Kreis- und Stadtsparkasse Dinkelsbühl
18,Sparkasse Münsterland Ost
178,Sparkasse Amberg-Sulzbach
109,Sparkasse Vogtland
22,Stadtsparkasse Dortmund
352,Stadtsparkasse Werne
377,Stadtsparkasse Schwedt
26,Sparkasse Mainfranken Würzburg
210,Sparkasse Günzburg-Krumbach
155,Sparkasse Bayreuth
396,Sparkasse der Stadt Straelen
389,Stadtsparkasse Herdecke
224,Sparkasse Rastatt-Gernsbach
366,Sparkasse Rothenburg
249,Sparkasse Oberpfalz Nord
201,Sparkasse Germersheim-Kandel
321,Kyffhäusersparkasse Artern-Sondershausen
265,Vereinigte Spk. Eschenbach Neustadt Vohenstrauß
128,Sparkasse Zwickau
213,Kreissparkasse Grafschaft Bentheim zu Nordhorn
344,Sparkasse Prignitz
187,Sparkasse Bensheim
142,Sparkasse Schweinfurt
302,Sparkasse Altenburger Land
253,Kreis- und Stadtsparkasse Kaufbeuren
118,Sparkasse Spree-Neiße
345,Sparkasse Ennepetal-Breckerfeld
289,Sparkasse Arnstadt-Ilmenau
120,Kreissparkasse Herzogtum Lauenburg
216,Rhön-Rennsteig-Sparkasse
217,Sparkasse Forchheim
13,Sparkasse Nürnberg
87,Sparkasse Mittelfranken-Süd
147,Sparkasse zu Lübeck AG
211,Sparkasse Nienburg
103,Sparkasse Leverkusen
124,Kreissparkasse Groß-Gerau
357,Sparkasse Uecker-Randow
256,Sparkasse Lippstadt
7,Ostsächsische Sparkasse Dresden
145,Sparkasse Altötting-Mühldorf
230,Kreissparkasse Bautzen
262,Stadtsparkasse Rheine
245,Städtische Sparkasse Offenbach am Main
333,Stadtsparkasse Hameln
59,Sparkasse Hanau
24,Kreissparkasse Heilbronn
30,Sparkasse Heidelberg
276,Sparkasse Neubrandenburg-Demmin
101,Kreissparkasse Augsburg
374,Stadtsparkasse Wedel
108,Sparkasse Gifhorn-Wolfsburg
188,Sparkasse Miltenberg-Obernburg
388,Stadtsparkasse Burgdorf
73,Sparkasse Mittelthüringen
32,Sparkasse Saarbrücken
243,Sparkasse Niederlausitz mit Sitz in Senftenberg
391,Stadtsparkasse Völklingen
401,Stadtsparkasse Hilchenbach
95,Sparkasse Fürstenfeldbruck
134,Sparkasse Hagen
136,Sparkasse Oder-Spree
273,Sparkasse Staufen-Breisach
283,Sparkasse Ostunterfranken
228,Sparkasse Hanauerland
363,Städtische Sparkasse zu Schwelm
181,Sparkasse Neu-Ulm - Illertissen
45,Sparkasse Holstein
287,Kreissparkasse Eichsfeld
341,Sparkasse Freyung-Grafenau
288,Kreissparkasse Garmisch-Partenkirchen
367,Sparkasse Mecklenburg-Strelitz
299,Stadtsparkasse Kaiserslautern
49,Sparkasse Rhein Neckar Nord
328,Kreissparkasse Höchstadt/Aisch
275,Kreis- und Stadtsparkasse Dillingen
66,Sparkasse Allgäu
89,Sparkasse Langen-Seligenstadt
171,Kreissparkasse Schwalm-Eder
39,Sparkasse Bochum
379,Sparkasse Gronau
167,Sparkasse Südwestpfalz
6,Sparkasse Hannover
325,Kreissparkasse Döbeln
239,Sparkasse Märkisch-Oderland
373,Stadtsparkasse Bad Pyrmont
225,Vereinigte Sparkassen im Landkreis Weilheim
62,Sparkasse Rosenheim-Bad Aibling
350,Sparkasse Duderstadt
65,Sparkasse Hildesheim
50,Kasseler Sparkasse
226,Kreissparkasse Grafschaft Diepholz
40,Sparkasse Vest Recklinghausen
80,Sparkasse Rhein-Haardt
146,Sparkasse Coburg-Lichtenfels
71,Sparkasse Aschaffenburg-Alzenau
110,Kreissparkasse Mittelsachsen
219,Hohenzollerische LdBk KSK Sigmaringen
152,Sparkasse Kulmbach-Kronach
235,Kreissparkasse Peine
250,Sparkasse Bad Kissingen
81,Sparkasse Rhein-Nahe
284,Kreissparkasse Saalfeld-Rudolstadt
14,Sparkasse Aachen
285,Sparkasse Bad Neustadt a.d. Saale
280,Sparkasse Arnsberg-Sundern
251,Kreissparkasse Halle
8,Stadtsparkasse Düsseldorf
47,Stadtsparkasse Augsburg
3,Kreissparkasse Köln
326,Sparkasse Salem-Heiligenberg
143,Sparkasse Celle
115,Sparkasse Oberlausitz-Niederschlesien
149,Sparkasse Dieburg
227,Kreissparkasse Börde
151,Stadt-Sparkasse Solingen
340,Vereinigte Sparkassen Gunzenhausen
207,Sparkasse Hamm
258,Kreissparkasse Osterholz
86,Sparkasse Hochfranken
266,Sparkasse Dillenburg
42,Sparkasse Bielefeld
56,Kreissparkasse Ravensburg
116,Sparkasse Worms-Alzey-Ried
78,Saalesparkasse
223,Sparkasse Weserbergland
2,Sparkasse KölnBonn
97,Sparkasse Hilden Ratingen Velbert
292,Kreissparkasse Gotha
34,Förde Sparkasse
25,Kreissparkasse Böblingen
61,Taunus Sparkasse
57,Sparkasse Herford
270,Kreissparkasse Stendal
244,Sparkasse Lünen
231,Wartburg-Sparkasse
64,Erzgebirgssparkasse
322,Sparkasse Elmshorn
242,Kreissparkasse Rhein-Hunsrück
54,Sparkasse Oberhessen
150,Salzlandsparkasse
84,Sparkasse Bamberg
67,Sparkasse Bodensee
37,Sparkasse Vorderpfalz
