id,name,slug
136,Sparkasse Oder-Spree,sparkasse_oder_spree
369,Stadtsparkasse Wetter,stadtsparkasse_wetter
2,Sparkasse KölnBonn,sparkasse_koelnbonn
151,Stadt-Sparkasse Solingen,stadt_sparkasse_solingen
319,Sparkasse Bühl,sparkasse_buehl
132,Kreissparkasse Düsseldorf,kreissparkasse_duesseldorf
344,Sparkasse Prignitz,sparkasse_prignitz
17,Stadt- und Kreissparkasse Leipzig,stadt_und_kreissparkasse_leipzig
503,Sparkasse Hegau-Bodensee,sparkasse_hegau_bodensee
93,Sparkasse Düren,sparkasse_dueren
399,Stadtsparkasse Versmold,stadtsparkasse_versmold
375,Kreissparkasse Schlüchtern,kreissparkasse_schluechtern
101,Kreissparkasse Augsburg,kreissparkasse_augsburg
371,Sparkasse Einbeck,sparkasse_einbeck
311,Sparkasse Engen-Gottmadingen,sparkasse_engen_gottmadingen
9,Die Sparkasse Bremen AG,die_sparkasse_bremen_ag
405,Stadtsparkasse Haltern am See,stadtsparkasse_haltern_am_see
114,Sparkasse Fürth,sparkasse_fuerth
278,Kreissparkasse Northeim,kreissparkasse_northeim
212,Kreissparkasse Mayen,kreissparkasse_mayen
280,Sparkasse Arnsberg-Sundern,sparkasse_arnsberg_sundern
233,Sparkasse Berchtesgadener Land,sparkasse_berchtesgadener_land
238,Sparkasse Barnim,sparkasse_barnim
298,Sparkasse Eichstätt,sparkasse_eichstaett
396,Sparkasse der Stadt Straelen,sparkasse_der_stadt_straelen
49,Sparkasse Rhein Neckar Nord,sparkasse_rhein_neckar_nord
181,Sparkasse Neu-Ulm - Illertissen,sparkasse_neu_ulm_illertissen
76,Sparkasse Kraichgau,sparkasse_kraichgau
339,Stadtsparkasse Bad Oeynhausen,stadtsparkasse_bad_oeynhausen
191,Sparkasse Rotenburg-Bremervörde,sparkasse_rotenburg_bremervoerde
290,Sparkasse Mecklenburg-Nordwest,sparkasse_mecklenburg_nordwest
357,Sparkasse Uecker-Randow,sparkasse_uecker_randow
335,Stadtsparkasse Gladbeck,stadtsparkasse_gladbeck
80,Sparkasse Rhein-Haardt,sparkasse_rhein_haardt
237,Sparkasse Neunkirchen,sparkasse_neunkirchen
392,Sparkasse Münden,sparkasse_muenden
185,Sparkasse Lüdenscheid,sparkasse_luedenscheid
302,Sparkasse Altenburger Land,sparkasse_altenburger_land
134,Sparkasse Hagen,sparkasse_hagen
257,Kreissparkasse Bitburg-Prüm,kreissparkasse_bitburg_pruem
220,Sparkasse Merzig-Wadern,sparkasse_merzig_wadern
122,Sparkasse Göttingen,sparkasse_goettingen
389,Stadtsparkasse Herdecke,stadtsparkasse_herdecke
401,Stadtsparkasse Hilchenbach,stadtsparkasse_hilchenbach
187,Sparkasse Bensheim,sparkasse_bensheim
5,Stadtsparkasse München,stadtsparkasse_muenchen
216,Rhön-Rennsteig-Sparkasse,rhoen_rennsteig_sparkasse
21,Sparkasse Krefeld,sparkasse_krefeld
310,Stadtsparkasse Gevelsberg,stadtsparkasse_gevelsberg
293,Kreissparkasse St. Wendel,kreissparkasse_st_wendel
370,Kreissparkasse Hildburghausen,kreissparkasse_hildburghausen
89,Sparkasse Langen-Seligenstadt,sparkasse_langen_seligenstadt
123,Kreissparkasse Syke,kreissparkasse_syke
251,Kreissparkasse Halle,kreissparkasse_halle
87,Sparkasse Mittelfranken-Süd,sparkasse_mittelfranken_sued
172,Sparkasse Aurich-Norden,sparkasse_aurich_norden
296,Kreissparkasse Nordhausen,kreissparkasse_nordhausen
274,Sparkasse Märkisches Sauerland Hemer-Menden,sparkasse_maerkisches_sauerland_hemer_menden
301,Kreissparkasse Walsrode,kreissparkasse_walsrode
288,Kreissparkasse Garmisch-Partenkirchen,kreissparkasse_garmisch_partenkirchen
368,Sparkasse Burbach-Neunkirchen,sparkasse_burbach_neunkirchen
188,Sparkasse Miltenberg-Obernburg,sparkasse_miltenberg_obernburg
419,Berliner Sparkasse,berliner_sparkasse
282,Kreissparkasse Melle,kreissparkasse_melle
214,Kreissparkasse Saarpfalz,kreissparkasse_saarpfalz
252,Stadt-Sparkasse Langenfeld,stadt_sparkasse_langenfeld
8,Stadtsparkasse Düsseldorf,stadtsparkasse_duesseldorf
321,Kyffhäusersparkasse Artern-Sondershausen,kyffhaeusersparkasse_artern_sondershausen
14,Sparkasse Aachen,sparkasse_aachen
364,Sparkasse Stockach,sparkasse_stockach
60,Stadt- und Kreissparkasse Erlangen,stadt_und_kreissparkasse_erlangen
281,Sparkasse Hochsauerland,sparkasse_hochsauerland
12,Mittelbrandenburgische Sparkasse in Potsdam,mittelbrandenburgische_sparkasse_in_potsdam
183,Sparkasse Deggendorf,sparkasse_deggendorf
501,Sparkasse an der Lippe,sparkasse_an_der_lippe
65,Sparkasse Hildesheim,sparkasse_hildesheim
313,Sparkasse Wittgenstein,sparkasse_wittgenstein
133,Sparkasse Dachau,sparkasse_dachau
64,Erzgebirgssparkasse,erzgebirgssparkasse
96,Sparkasse Zollernalb,sparkasse_zollernalb
247,Kreissparkasse Limburg,kreissparkasse_limburg
246,Stadtsparkasse Remscheid,stadtsparkasse_remscheid
264,Sparkasse Mansfeld-Südharz,sparkasse_mansfeld_suedharz
94,Sparkasse Marburg-Biedenkopf,sparkasse_marburg_biedenkopf
36,Sparkasse Neuss,sparkasse_neuss
500,Kreissparkasse Westerwald-Sieg,kreissparkasse_westerwald_sieg
13,Sparkasse Nürnberg,sparkasse_nuernberg
276,Sparkasse Neubrandenburg-Demmin,sparkasse_neubrandenburg_demmin
7,Ostsächsische Sparkasse Dresden,ostsaechsische_sparkasse_dresden
376,Sparkasse Bonndorf-Stühlingen,sparkasse_bonndorf_stuehlingen
384,Stadtsparkasse Sprockhövel,stadtsparkasse_sprockhoevel
299,Stadtsparkasse Kaiserslautern,stadtsparkasse_kaiserslautern
362,Sparkasse Scheeßel,sparkasse_scheessel
59,Sparkasse Hanau,sparkasse_hanau
176,Sparkasse Uelzen Lüchow-Dannenberg,sparkasse_uelzen_luechow_dannenberg
379,Sparkasse Gronau,sparkasse_gronau
149,Sparkasse Dieburg,sparkasse_dieburg
146,Sparkasse Coburg-Lichtenfels,sparkasse_coburg_lichtenfels
82,Sparkasse Niederbayern-Mitte,sparkasse_niederbayern_mitte
44,Sparkasse Freiburg - Nördlicher Breisgau,sparkasse_freiburg_noerdlicher_breisgau
365,Verbandssparkasse Goch-Kevelaer-Weeze,verbandssparkasse_goch_kevelaer_weeze
374,Stadtsparkasse Wedel,stadtsparkasse_wedel
51,Kreissparkasse Göppingen,kreissparkasse_goeppingen
349,Sparkasse Hennstedt-Wesselburen,sparkasse_hennstedt_wesselburen
186,Kreis- und Stadtsparkasse Erding - Dorfen,kreis_und_stadtsparkasse_erding_dorfen
16,Kreissparkasse Ludwigsburg,kreissparkasse_ludwigsburg
267,Sparkasse Aichach-Schrobenhausen,sparkasse_aichach_schrobenhausen
168,Sparkasse Gießen,sparkasse_giessen
152,Sparkasse Kulmbach-Kronach,sparkasse_kulmbach_kronach
192,Sparkasse Jena-Saale-Holzland,sparkasse_jena_saale_holzland
500,Sparkasse Westerwald-Sieg,sparkasse_westerwald_sieg
294,Stadtsparkasse Bocholt,stadtsparkasse_bocholt
320,Kreissparkasse Saale-Orla,kreissparkasse_saale_orla
309,Sparkasse Hattingen,sparkasse_hattingen
33,Sparkasse Westmünsterland,sparkasse_westmuensterland
57,Sparkasse Herford,sparkasse_herford
258,Kreissparkasse Osterholz,kreissparkasse_osterholz
95,Sparkasse Fürstenfeldbruck,sparkasse_fuerstenfeldbruck
243,Sparkasse Niederlausitz mit Sitz in Senftenberg,sparkasse_niederlausitz_mit_sitz_in_senftenberg
203,Sparkasse Stade - Altes Land,sparkasse_stade_altes_land
261,Sparkasse Wittenberg,sparkasse_wittenberg
179,Sparkasse im Landkreis Schwandorf,sparkasse_im_landkreis_schwandorf
45,Sparkasse Holstein,sparkasse_holstein
340,Vereinigte Sparkassen Gunzenhausen,vereinigte_sparkassen_gunzenhausen
105,Sparkasse Schwäbisch Hall Crailsheim,sparkasse_schwaebisch_hall_crailsheim
338,Bordesholmer Sparkasse AG,bordesholmer_sparkasse_ag
303,Sparkasse Ostprignitz-Ruppin,sparkasse_ostprignitz_ruppin
502,Niederrheinische Sparkasse RheinLippe,niederrheinische_sparkasse_rheinlippe
61,Taunus Sparkasse,taunus_sparkasse
75,Sparkasse Memmingen-Lindau-Mindelheim,sparkasse_memmingen_lindau_mindelheim
116,Sparkasse Worms-Alzey-Ried,sparkasse_worms_alzey_ried
77,Kreissparkasse Kaiserslautern,kreissparkasse_kaiserslautern
10,Nassauische Sparkasse,nassauische_sparkasse
343,Sparkasse Pfullendorf-Messkirch,sparkasse_pfullendorf_messkirch
18,Sparkasse Münsterland Ost,sparkasse_muensterland_ost
417,Städtische Sparkasse Kamen,staedtische_sparkasse_kamen
1,Hamburger Sparkasse AG,hamburger_sparkasse_ag
395,Sparkasse Schönau-Todtnau,sparkasse_schoenau_todtnau
29,Stadtsparkasse Wuppertal,stadtsparkasse_wuppertal
403,Stadtsparkasse Freudenberg,stadtsparkasse_freudenberg
144,Sparkasse Minden-Lübbecke,sparkasse_minden_luebbecke
20,Kreissparkasse Esslingen-Nürtingen,kreissparkasse_esslingen_nuertingen
150,Salzlandsparkasse,salzlandsparkasse
378,Sparkasse Gengenbach,sparkasse_gengenbach
215,Sparkasse Dinslaken-Voerde-Hünxe,sparkasse_dinslaken_voerde_huenxe
91,Sparkasse Schwarzwald-Baar,sparkasse_schwarzwald_baar
90,Sparkasse Landshut,sparkasse_landshut
269,Sparkasse Regen-Viechtach,sparkasse_regen_viechtach
265,Vereinigte Spk. Eschenbach Neustadt Vohenstrauß,vereinigte_spk_eschenbach_neustadt_vohenstrauss
404,Kreis- und Stadtsparkasse Dinkelsbühl,kreis_und_stadtsparkasse_dinkelsbuehl
162,Sparkasse Neumarkt-Parsberg,sparkasse_neumarkt_parsberg
88,Sparkasse Harburg-Buxtehude,sparkasse_harburg_buxtehude
410,Sparkasse Fröndenberg,sparkasse_froendenberg
385,Stadtsparkasse Lengerich,stadtsparkasse_lengerich
348,Stadtsparkasse Schwerte,stadtsparkasse_schwerte
180,Kreissparkasse Traunstein-Trostberg,kreissparkasse_traunstein_trostberg
381,Stadtsparkasse Wunstorf,stadtsparkasse_wunstorf
347,Sparkasse Kierspe-Meinerzhagen,sparkasse_kierspe_meinerzhagen
