value2,value4,value3,value,id,annotation
5.710,0.010,0.000,8.210,45,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
6.850,0.010,0.000,6.850,192,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
7.600,0.050,0.000,7.600,214,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
7.750,0.050,0.000,7.750,172,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
7.960,,,12.960,377,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
8.260,0.050,0.000,8.260,264,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.330,0.050,0.000,12.330,94,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.390,0.020,0.000,8.390,290,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.490,0.010,0.000,8.490,292,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.500,0.010,0.000,9.900,209,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.500,0.070,0.000,11.500,142,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.510,0.050,0.000,8.510,115,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.700,0.050,0.000,8.700,30,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.730,0.050,0.000,11.730,106,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.750,0.010,0.000,8.750,16,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.868,,0.000,8.868,24,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.890,0.010,0.000,8.890,318,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.900,0.100,0.000,12.900,105,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8.940,,,13.940,161,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
9.020,0.100,0.000,13.020,169,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.050,0.050,0.000,14.050,138,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
9.120,,,,265,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
