annotation,id,value2,value3,value,value4
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",362,12.750,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,305,12.640,12.640,0.000,0.010
"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken.",378,12.568,17.068,0.010,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,205,12.550,12.550,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,273,12.500,18.000,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,370,12.500,12.500,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,289,12.490,12.490,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,77,12.470,17.470,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,366,12.453,12.453,0.000,0.005
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,224,12.420,17.420,0.000,0.010
"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben.",382,12.420,,,
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,103,12.410,12.410,0.000,0.025
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,89,12.380,12.380,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,367,12.350,12.350,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,110,12.330,18.330,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,43,12.290,12.290,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,165,12.220,12.220,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,361,12.220,12.220,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,327,12.210,17.210,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,296,12.200,17.200,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,389,12.200,16.700,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,200,12.200,15.200,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,298,12.150,12.150,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,287,12.140,14.140,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,196,12.040,12.040,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,130,12.037,17.037,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,406,12.010,12.010,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,175,11.970,17.470,0.000,0.100
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,347,11.970,11.970,0.000,0.030
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,9,11.950,11.950,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,277,11.950,11.950,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,405,11.950,11.950,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,307,11.920,11.920,0.000,0.020
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,346,11.900,16.900,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,111,11.900,11.900,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,232,11.900,11.900,0.000,0.050
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,392,11.890,11.890,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,157,11.870,11.870,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,66,11.817,11.817,0.000,0.010
Von dieser Sparkasse haben wir einen Preisaushang erhalten.,252,11.810,11.810,0.000,0.050
