id,value2,value3,value4,value,annotation
45,5.71,8.21,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
192,6.85,6.85,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
214,7.6,7.6,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
172,7.75,7.75,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
377,7.96,12.96,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
264,8.26,8.26,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
94,8.33,12.33,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
290,8.39,8.39,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
292,8.49,8.49,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
209,8.5,9.9,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
142,8.5,11.5,0,0.07,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
115,8.51,8.51,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
30,8.7,8.7,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
106,8.73,11.73,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
16,8.75,8.75,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
24,8.868,8.868,0,,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
318,8.89,8.89,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
105,8.9,12.9,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
161,8.94,13.94,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
169,9.02,13.02,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
138,9.05,14.05,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
265,9.12,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
243,9.19,9.19,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
88,9.21,9.21,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
96,9.22,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
70,9.25,9.25,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
234,9.25,14.25,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
397,9.26,15.26,0.03,0.05,"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken."
393,9.3,14.8,0.05,0.05,"Die Sparkasse hat nur auf unsere vier Zinsfragen geantwortet, wollte aber den Preisaushang nicht schicken."
67,9.3,9.3,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
78,9.3,9.3,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
357,9.33,13.33,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
147,9.4,9.4,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
203,9.4,9.4,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
350,9.42,9.42,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
113,9.45,9.45,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
146,9.46,9.46,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
119,9.49,9.49,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
90,9.5,14.5,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
340,9.5,9.5,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
213,9.55,14.55,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
294,9.55,9.55,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
297,9.55,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
140,9.59,9.59,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
148,9.59,12.59,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
87,9.6,9.6,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
195,9.6,12.6,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
53,9.6,14.1,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
135,9.61,9.61,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
68,9.61,14.23,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
186,9.64,9.64,0,0.15,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
328,9.65,9.65,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
238,9.65,9.65,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
58,9.65,14.65,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
211,9.65,14.4,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
310,9.65,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
72,9.69,12.69,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
51,9.69,9.69,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
191,9.72,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
228,9.75,9.75,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
168,9.75,14.75,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
503,9.75,9.75,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
248,9.75,13.75,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
159,9.77,9.77,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
162,9.78,9.78,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
225,9.78,15.03,0,0.02,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
126,9.79,9.79,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
255,9.8,14.8,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
74,9.815,9.815,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
286,9.82,9.82,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
335,9.83,9.83,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
342,9.83,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
183,9.85,9.85,0,0.02,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
219,9.85,14.85,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
