id,name,value,value2,value3,value4
45,Sparkasse Holstein,5.710,8.210,0.000,0.010
192,Sparkasse Jena-Saale-Holzland,6.850,6.850,0.000,0.010
16,Kreissparkasse Ludwigsburg,7.500,8.750,0.000,0.010
214,Kreissparkasse Saarpfalz,7.600,7.600,0.000,0.050
172,Sparkasse Aurich-Norden,7.750,7.750,0.000,0.050
264,Sparkasse Mansfeld-Südharz,8.260,8.260,0.000,0.050
94,Sparkasse Marburg-Biedenkopf,8.330,12.330,0.000,0.050
290,Sparkasse Mecklenburg-Nordwest,8.390,8.390,0.000,0.020
292,Kreissparkasse Gotha,8.490,8.490,0.000,0.010
209,Sparkasse Elbe-Elster,8.500,9.900,0.000,0.010
142,Sparkasse Schweinfurt,8.500,11.500,0.000,0.070
115,Sparkasse Oberlausitz-Niederschlesien,8.510,8.510,0.000,0.050
30,Sparkasse Heidelberg,8.700,8.700,0.000,0.050
106,Sparkasse Siegen,8.730,11.730,0.000,0.050
24,Kreissparkasse Heilbronn,8.868,8.868,0.000,k.A.
318,Sparkasse Uckermark,8.890,8.890,k.A.,0.010
105,Sparkasse Schwäbisch Hall Crailsheim,8.900,12.900,0.000,0.100
169,Sparkasse Neuwied,9.020,13.020,0.000,0.100
138,Sparkasse Schaumburg,9.050,14.050,0.000,0.050
243,Sparkasse Niederlausitz mit Sitz in Senftenberg,9.190,9.190,0.000,0.050
88,Sparkasse Harburg-Buxtehude,9.210,9.210,0.000,0.050
234,Kreissparkasse Stade,9.250,14.250,0.000,0.050
70,Sparkasse Trier,9.250,9.250,0.000,0.010
397,Sparkasse Grünberg,9.260,15.260,0.030,0.050
78,Saalesparkasse,9.300,9.300,0.000,0.100
67,Sparkasse Bodensee,9.300,9.300,0.000,0.050
393,Sparkasse St. Blasien,9.300,14.800,0.050,0.050
357,Sparkasse Uecker-Randow,9.330,13.330,0.000,0.010
203,Sparkasse Stade - Altes Land,9.400,9.400,0.000,0.050
147,Sparkasse zu Lübeck AG,9.400,9.400,0.000,0.010
350,Sparkasse Duderstadt,9.420,9.420,0.000,0.050
113,OstseeSparkasse Rostock,9.450,9.450,0.000,0.020
146,Sparkasse Coburg-Lichtenfels,9.460,9.460,0.000,0.050
119,Vereinigte Sparkassen Stadt- und Landkreis Ansbach,9.490,9.490,k.A.,0.010
90,Sparkasse Landshut,9.500,14.500,0.000,0.010
340,Vereinigte Sparkassen Gunzenhausen,9.500,9.500,0.000,0.010
213,Kreissparkasse Grafschaft Bentheim zu Nordhorn,9.550,14.550,0.000,0.050
294,Stadtsparkasse Bocholt,9.550,9.550,0.000,0.100
148,Harzsparkasse,9.590,12.590,0.000,0.050
140,Sparkasse Meißen,9.590,9.590,0.000,0.020
195,Kreissparkasse Freudenstadt,9.600,12.600,0.000,0.020
53,Kreissparkasse Reutlingen,9.600,14.100,0.000,0.050
87,Sparkasse Mittelfranken-Süd,9.600,9.600,k.A.,0.010
68,Sparkasse Koblenz,9.610,14.230,0.000,0.100
135,Sparkasse Lüneburg,9.610,9.610,0.000,0.050
223,Sparkasse Weserbergland,9.630,9.630,k.A.,0.010
186,Kreis- und Stadtsparkasse Erding - Dorfen,9.640,9.640,0.000,0.150
328,Kreissparkasse Höchstadt/Aisch,9.650,9.650,0.000,0.010
238,Sparkasse Barnim,9.650,9.650,0.000,0.020
211,Sparkasse Nienburg,9.650,14.400,k.A.,0.050
58,Stadtsparkasse Mönchengladbach,9.650,14.650,0.000,0.050
51,Kreissparkasse Göppingen,9.690,9.690,0.000,0.050
72,Sparkasse Regensburg,9.690,12.690,0.000,0.020
360,Sparkasse Bergkamen-Bönen,9.720,12.220,0.000,0.050
168,Sparkasse Gießen,9.750,14.750,0.020,0.020
248,Sparkasse Goslar/Harz,9.750,13.750,0.000,0.100
228,Sparkasse Hanauerland,9.750,9.750,0.000,0.010
125,Sparkasse Singen-Radolfzell,9.750,9.750,0.000,0.050
159,Sparkasse Burgenlandkreis,9.770,9.770,0.000,0.010
162,Sparkasse Neumarkt-Parsberg,9.780,9.780,0.000,0.010
225,Vereinigte Sparkassen im Landkreis Weilheim,9.780,15.030,0.000,0.020
126,Sparkasse Hochrhein,9.790,9.790,0.000,0.050
255,Kreissparkasse Bersenbrück,9.800,14.800,0.000,0.010
74,Sparkasse Chemnitz,9.815,9.815,0.000,0.010
286,Sparkasse Pfaffenhofen,9.820,9.820,0.000,0.050
335,Stadtsparkasse Gladbeck,9.830,9.830,0.000,0.050
183,Sparkasse Deggendorf,9.850,9.850,0.000,0.020
219,Hohenzollerische LdBk KSK Sigmaringen,9.850,14.850,k.A.,0.050
185,Sparkasse Lüdenscheid,9.860,15.360,0.000,0.050
230,Kreissparkasse Bautzen,9.900,9.900,0.000,0.010
319,Sparkasse Bühl,9.900,9.900,0.000,0.050
282,Kreissparkasse Melle,9.910,9.910,0.000,0.050
383,Sparkasse Nördlingen,9.935,14.435,0.000,0.050
257,Kreissparkasse Bitburg-Prüm,9.950,9.950,0.000,0.100
112,Kreissparkasse Tuttlingen,9.950,14.950,0.000,0.100
152,Sparkasse Kulmbach-Kronach,9.950,9.950,0.000,0.050
99,Sparkasse Vorpommern,9.950,9.950,0.000,0.020
380,Stadtsparkasse Porta Westfalica,9.950,16.450,0.000,0.010
208,Kreissparkasse Miesbach-Tegernsee,9.960,9.960,0.000,0.030
284,Kreissparkasse Saalfeld-Rudolstadt,9.990,9.990,0.000,0.010
7,Ostsächsische Sparkasse Dresden,9.990,9.990,0.000,0.050
122,Sparkasse Göttingen,9.990,14.490,0.000,0.010
317,Sparkasse Muldental,9.990,9.990,0.000,0.010
279,Stadtsparkasse Bottrop,9.990,14.990,0.000,0.100
295,Kreissparkasse Soltau,10.050,10.050,k.A.,0.050
190,Sparkasse im Landkreis Neustadt/Aisch - Bad Windsheim,10.050,14.050,0.010,
390,Stadtsparkasse Schmallenberg,10.050,15.800,0.000,0.020
174,Sparkasse Gera-Greiz,10.080,10.080,0.000,0.010
167,Sparkasse Südwestpfalz,10.080,10.080,0.000,0.050
301,Kreissparkasse Walsrode,10.150,10.150,k.A.,0.001
359,Stadt- und Kreissparkasse Moosburg,10.160,15.160,k.A.,0.020
129,Sparkasse Mittelmosel Eifel Mosel Hunsrück,10.170,10.170,0.000,0.020
349,Sparkasse Hennstedt-Wesselburen,10.190,15.690,0.000,0.010
285,Sparkasse Bad Neustadt a.d. Saale,10.200,14.200,0.000,0.030
329,Sparkasse Beckum-Wadersloh,10.200,15.200,0.000,0.050
276,Sparkasse Neubrandenburg-Demmin,10.200,10.200,0.000,0.020
216,Rhön-Rennsteig-Sparkasse,10.210,15.210,0.000,0.050
73,Sparkasse Mittelthüringen,10.220,15.220,0.000,0.010
82,Sparkasse Niederbayern-Mitte,10.270,15.270,0.000,0.010
355,Sparkasse Sonneberg,10.270,10.270,0.000,0.050
181,Sparkasse Neu-Ulm - Illertissen,10.280,15.280,0.000,0.050
13,Sparkasse Nürnberg,10.280,10.280,0.000,0.010
251,Kreissparkasse Halle,10.300,10.300,k.A.,0.010
333,Stadtsparkasse Hameln,10.300,10.300,0.000,0.010
368,Sparkasse Burbach-Neunkirchen,10.350,10.350,0.000,0.050
237,Sparkasse Neunkirchen,10.350,10.350,0.000,0.050
201,Sparkasse Germersheim-Kandel,10.360,15.360,k.A.,0.050
179,Sparkasse im Landkreis Schwandorf,10.370,15.370,0.000,0.010
118,Sparkasse Spree-Neiße,10.370,14.870,0.000,0.050
242,Kreissparkasse Rhein-Hunsrück,10.380,15.380,0.000,0.025
26,Sparkasse Mainfranken Würzburg,10.390,13.390,0.000,0.050
386,Sparkasse Rietberg,10.390,15.890,0.000,0.050
107,Sparkasse Südliche Weinstraße,10.390,10.390,0.000,0.050
80,Sparkasse Rhein-Haardt,10.410,10.410,0.000,0.150
345,Sparkasse Ennepetal-Breckerfeld,10.430,10.430,0.000,0.050
288,Kreissparkasse Garmisch-Partenkirchen,10.438,12.438,0.000,0.010
193,Kreissparkasse Kelheim,10.450,10.450,0.000,0.050
229,Sparkasse der Stadt Iserlohn,10.450,10.450,0.000,0.050
281,Sparkasse Hochsauerland,10.450,10.450,0.000,0.050
136,Sparkasse Oder-Spree,10.470,15.470,0.000,0.010
46,Sparkasse Ulm,10.470,10.470,0.000,0.500
15,Kreissparkasse München Starnberg Ebersberg,10.488,10.488,0.000,0.010
33,Sparkasse Westmünsterland,10.489,10.489,k.A.,0.050
102,Sparkasse Emsland,10.500,10.500,0.000,0.050
108,Sparkasse Gifhorn-Wolfsburg,10.500,10.500,0.000,0.050
